## Curva de calibración Hg²⁺ — Electrodo carbono poroso —SH
## Fecha: pendiente (fase laboratorio del plan de 15 días)
## Instrumento: EIS a 100 Hz, amplitud 10 mV
## Matriz: agua ultrapura + agua amazónica sintética pH 5.5

# Columnas:
#   concentration_ugL  : concentración de Hg²⁺ en µg/L
#   delta_Cdl_pF       : variación de capacitancia de doble capa (Cdl muestra - Cdl blanco) en pF
#   matrix             : ultrapure | synthetic_amazon
#   replicate          : número de réplica (1-3)

concentration_ugL,delta_Cdl_pF,matrix,replicate
0.0,0.000,ultrapure,1
0.0,0.000,ultrapure,2
0.0,0.000,ultrapure,3
0.1,,,
0.5,,,
1.0,,,
5.0,,,
10.0,,,
50.0,,,
0.0,0.000,synthetic_amazon,1
0.0,0.000,synthetic_amazon,2
0.0,0.000,synthetic_amazon,3
0.1,,,
0.5,,,
1.0,,,
5.0,,,
10.0,,,
50.0,,,

## NOTA: Las celdas vacías se llenarán durante los días 8-9 del plan de implementación.
## Los valores de referencia reportados en literatura (Li et al. 2022) son:
##   slope    ≈ 0.8 pF·L/µg   (en agua ultrapura)
##   intercept ≈ 0.05 µg/L
##   LOD      ≈ 0.1 µg/L
##   R²       > 0.99
